triple_id,architecture,p_rare,Ag,R2,ms_diff,excess_kurtosis
64,common (p=0.5),0.5,0.10738705226416062,0.11657727002293446,0.4730485807822074,-0.05350217670711488
64,rare (p=0.05),0.05,0.10738705226416062,0.02807723988066654,0.6500957156139817,0.09209582487132417
64,rare (p=0.02),0.02,0.10738705226416062,0.11498195194970204,0.47033042204283915,-0.014931857377180835
64,very rare (p=0.005),0.005,0.10738705226416062,0.1429819492730601,0.4522767362876652,0.07199398142233027
65,common (p=0.5),0.5,0.060732556520331146,0.05598447227982491,0.4033753122172085,-0.04125893686496884
65,rare (p=0.05),0.05,0.060732556520331146,0.05299377605561681,0.39863815519337586,0.007079020702841943
65,rare (p=0.02),0.02,0.060732556520331146,0.06848672223902644,0.3989750672881088,0.07564528817729177
65,very rare (p=0.005),0.005,0.060732556520331146,0.06012045335487335,0.3980779492089386,0.0340354139800334
66,common (p=0.5),0.5,0.04686667108656422,0.04727359326960517,0.2738492507050412,-0.029915733885771068
66,rare (p=0.05),0.05,0.04686667108656422,0.05782315309970216,0.25766597556722487,-0.006033170454795012
66,rare (p=0.02),0.02,0.04686667108656422,0.03550765280879447,0.27317058828566293,0.15474034921487467
66,very rare (p=0.005),0.005,0.04686667108656422,0.04577465637472438,0.28895454088432754,0.002395743060917499
67,common (p=0.5),0.5,0.10141042602400378,0.0939096398403902,0.7835569942646392,-0.019097621905952655
67,rare (p=0.05),0.05,0.10141042602400378,0.19633610074954222,0.686706683501316,0.12157725524438157
67,rare (p=0.02),0.02,0.10141042602400378,0.11694800816080157,0.7445849982794157,0.09728200895416939
67,very rare (p=0.005),0.005,0.10141042602400378,0.10787995831066653,0.7687099383937093,-0.01196265640771077
68,common (p=0.5),0.5,0.22860746256718853,0.2242477196312212,0.27744798869733694,-0.05742746374655283
68,rare (p=0.05),0.05,0.22860746256718853,0.3579821068322402,0.22948884464661512,0.27667502184732984
68,rare (p=0.02),0.02,0.22860746256718853,0.29108835902958624,0.23896445592884427,0.13092228681216211
68,very rare (p=0.005),0.005,0.22860746256718853,0.21894978552006858,0.2665194873685421,-0.014900326302866751
69,common (p=0.5),0.5,0.5338204376180024,0.5359492955947374,0.3780575284032322,-0.034686155318794376
69,rare (p=0.05),0.05,0.5338204376180024,0.5681682672701055,0.35472892715587956,0.03307734304838783
69,rare (p=0.02),0.02,0.5338204376180024,0.5131456868048744,0.4289190159265236,0.03676825826954666
69,very rare (p=0.005),0.005,0.5338204376180024,0.521184043850781,0.3590742460779365,0.0014000244749494684
70,common (p=0.5),0.5,0.42823937460814554,0.4395160319901084,0.5678048501686023,-0.014543650296256927
70,rare (p=0.05),0.05,0.42823937460814554,0.3177271813786562,1.2081437603901237,0.21160890246451924
70,rare (p=0.02),0.02,0.42823937460814554,0.40889863050899466,0.5549686256910425,0.0578590172383443
70,very rare (p=0.005),0.005,0.42823937460814554,0.4354086731730199,0.5011795301581387,-0.010478128074848714
71,common (p=0.5),0.5,0.05049423500314538,0.051352304386979526,1.096037509228372,-0.0359976552443767
71,rare (p=0.05),0.05,0.05049423500314538,0.04890077896259488,1.1977080598450076,-0.02604995790941833
71,rare (p=0.02),0.02,0.05049423500314538,0.0819951568627557,1.0155571125740896,0.052495588480871436
71,very rare (p=0.005),0.005,0.05049423500314538,0.040322366852191815,1.1673404420065416,0.04054340890715891
72,common (p=0.5),0.5,0.1015149443092052,0.10408754048064031,0.9066329987797084,-0.018087428168746533
72,rare (p=0.05),0.05,0.1015149443092052,0.11018525670751668,0.9468827175330825,0.001567956832237316
72,rare (p=0.02),0.02,0.1015149443092052,0.13411200096634848,0.8802018306919485,0.047508517514540105
72,very rare (p=0.005),0.005,0.1015149443092052,0.09026110093994118,0.9414984435268035,0.03056848789680877
73,common (p=0.5),0.5,0.021866685612140658,0.02010033391626079,0.196689800796118,-0.011328834349302763
73,rare (p=0.05),0.05,0.021866685612140658,0.020548469558085394,0.19191743948123957,-0.014696170492345728
73,rare (p=0.02),0.02,0.021866685612140658,0.03335737397491549,0.18179929548311896,0.20794248744939947
73,very rare (p=0.005),0.005,0.021866685612140658,0.03991655027269947,0.17915533972279574,0.1734962105714407
74,common (p=0.5),0.5,0.041197537283355325,0.03669748053450635,0.5233547430336459,-0.03515574227461704
74,rare (p=0.05),0.05,0.041197537283355325,0.04010380275031935,0.5092482661687289,0.032889681813738525
74,rare (p=0.02),0.02,0.041197537283355325,0.029452006252767806,0.5588820272302136,0.00850658978269525
