generation,sigma2,sigma,b_mag,Vlin,Vquad,Ag
305,2.976443696928465,1.7252372871371824,0.21762105686523284,0.14096117199732308,0.044296085404925946,0.7608941963944448
306,2.976622169244176,1.7252890103528091,0.21653566731600707,0.13956695305658193,0.04430139769217953,0.7590591446990615
307,2.9768006344341202,1.7253407299528172,0.21545569116974203,0.1381865232307659,0.04430671008583691,0.7572145044470205
308,2.9769790924993185,1.7253924459378274,0.21438110142697794,0.1368197461510149,0.044312022585890336,0.755360294359772
309,2.9771575434407884,1.7254441583084597,0.21331187122291523,0.13546648679701792,0.044317335192331955,0.7534965343268915
310,2.9773359872595506,1.7254958670653346,0.21224797382674304,0.13412661148367871,0.04432264790515402,0.7516232454146698
311,2.9775144239566247,1.7255475722090725,0.21118938264097117,0.13279998784791266,0.04432796072434877,0.7497404498744891
312,2.9776928535330285,1.7255992737402934,0.21013607120076472,0.13148648483557376,0.04433327364990836,0.7478481711509741
313,2.97787127598978,1.725650971659617,0.20908801317328293,0.13018597268851193,0.044338586681825005,0.745946433889917
314,2.9780496913278984,1.7257026659676626,0.20804518235702046,0.12889832293175735,0.044343899820090966,0.7440352639459663
315,2.978228099548403,1.7257543566650506,0.20700755268115265,0.12762340836083216,0.04434921306469847,0.742114688390076
316,2.9784065006523095,1.7258060437523997,0.20597509820488344,0.12636110302918682,0.04435452641563969,0.7401847355167055
317,2.978584894640637,1.725857727230329,0.2049477931167973,0.12511128223576204,0.04435983987290688,0.7382454348507689
318,2.978763281514402,1.7259094070994578,0.20392561173421342,0.12387382251267195,0.04436515343649224,0.7362968171543209
319,2.9789416612746216,1.7259610833604047,0.20290852850254407,0.12264860161301076,0.04437046710638801,0.734338914432981
320,2.979120033922314,1.7260127560137886,0.20189651799465538,0.1214354984987786,0.04437578088258645,0.7323717599420821
321,2.979298399458494,1.7260644250602275,0.20088955491023208,0.12023439332892782,0.044381094765079725,0.7303953881925445
322,2.9794767578841794,1.7261160905003405,0.1998876140751445,0.11904516744752659,0.04438640875386011,0.7284098349564624
323,2.9796551092003867,1.7261677523347454,0.19889067044081962,0.11786770337204035,0.044391722848919846,0.7264151372724043
324,2.9798334534081308,1.72621941056406,0.19789869908361465,0.1167018847817284,0.044397037050251144,0.7244113334504145
325,2.980011790508428,1.7262710651889024,0.19691167520419406,0.11554759650615583,0.04440235135784624,0.7223984630767152
326,2.980190120502293,1.7263227162098902,0.1959295741269093,0.11440472451381842,0.04440766577169737,0.7203765670180993
327,2.9803684433907423,1.726374363627641,0.1949523712991825,0.11327315590088102,0.044412980291796786,0.7183456874260129
328,2.98054675917479,1.726426007442772,0.19398004229089189,0.11215277888002577,0.04441829491813672,0.7163058677403156
329,2.9807250678554498,1.7264776476558998,0.1930125627937617,0.11104348276941205,0.044423609650709385,0.714257152692721
330,2.9809033694337383,1.7265292842676427,0.19204990862075408,0.10994515798174492,0.04442892448950708,0.7121995883099045
331,2.981081663910669,1.7265809172786166,0.19109205570546464,0.10885769601345155,0.04443423943452203,0.7101332219162777
332,2.9812599512872557,1.7266325466894383,0.1901389801015205,0.10778098943396473,0.044439554485746456,0.7080581021364231
333,2.9814382315645123,1.7266841725007247,0.18919065798198204,0.10671493187511301,0.04444486964317264,0.7059742788971829
334,2.9816165047434513,1.7267357947130915,0.18824706563874677,0.10565941802061438,0.04445018490679278,0.7038818034293992
335,2.981794770825088,1.7267874133271552,0.18730817948195702,0.10461434359567542,0.044455500276599204,0.7017807282692979
336,2.981973029810434,1.7268390283435322,0.18637397603940997,0.10357960535669204,0.044460815752584114,0.6996711072595144
337,2.982151281700502,1.7268906397628374,0.18544443195597088,0.1025551010810526,0.04446613133473974,0.6975529955497544
338,2.982329526496306,1.7269422475856875,0.18451952399298926,0.10154072955704208,0.044471447023058414,0.695426449597086
339,2.982507764198857,1.7269938518126975,0.18359922902771786,0.10053639057384532,0.044476762817532337,0.69329152716586
340,2.9826859948091684,1.727045452444483,0.18268352405273466,0.09954198491165014,0.0444820787181538,0.6911482873272519
341,2.9828642183282508,1.7270970494816587,0.1817723861753675,0.0985574143318471,0.044487394724915044,0.6889967904584232
342,2.983042434757115,1.7271486429248395,0.1808657926171221,0.0975825815673274,0.044492710837808286,0.6868370982412987
343,2.9832206440967735,1.7272002327746407,0.17996372071311217,0.09661739031287579,0.044498027056825845,0.6846692736609526
344,2.983398846348239,1.7272518190316775,0.17906614791149322,0.09566174521565912,0.04450334338196001,0.6824933810036063
345,2.98357704151252,1.7273034016965636,0.1781730517728984,0.09471555186580817,0.04450865981320302,0.680309485854227
346,2.9837552295906287,1.7273549807699136,0.1772844099698778,0.09377871678709354,0.04451397635054714,0.6781176550937291
347,2.9839334105835746,1.7274065562523417,0.17640020028634,0.092851147427693,0.04451929299398463,0.6759179568957742
348,2.9841115844923687,1.727458128144462,0.17552040061699686,0.09193275215105048,0.04452460974350778,0.6737104607231649
349,2.9842897513180207,1.7275096964468883,0.17464498896681085,0.09102344022682538,0.04452992659910888,0.6714952373238335
350,2.9844679110615404,1.7275612611602347,0.17377394345044514,0.0901231218219313,0.04453524356078018,0.6692723587264192
351,2.984646063723936,1.7276128222851137,0.17290724229171636,0.08923170799166343,0.044540560628513935,0.6670418982354336
352,2.9848242093062183,1.7276643798221396,0.17204486382305054,0.08834911067091392,0.044545877802302465,0.6648039304260128
353,2.985002347809395,1.7277159337719252,0.1711867864849409,0.08747524266547342,0.04455119508213801,0.6625585311382529
354,2.9851804792344767,1.7277674841350836,0.17033298882540943,0.08661001764341962,0.04455651246801291,0.6603057774711283
355,2.98535860358247,1.7278190309122279,0.16948344949947006,0.08575335012658983,0.044561829959919384,0.6580457477759906
356,2.985536720854384,1.7278705741039704,0.1686381472685955,0.084905155482139,0.04456714755784975,0.6557785216496477
357,2.9857148310512267,1.7279221137109237,0.16779706100018585,0.08406534991418024,0.044572465261796285,0.653504179927021
358,2.9858929341740055,1.7279736497337006,0.1669601696670407,0.08323385045550871,0.04457778307175127,0.651222804673382
359,2.986071030223729,1.7280251821729131,0.16612745234683307,0.0824105749594069,0.04458310098770703,0.6489344791761639
360,2.9862491192014042,1.728076711029173,0.16529888822158653,0.08159544209153104,0.044588419009655815,0.6466392879363523
361,2.986427201108037,1.7281282363030923,0.1644744565771549,0.08078837132187808,0.04459373713758993,0.6443373166594527
362,2.986605275944637,1.7281797579952836,0.16365413680270405,0.07998928291683156,0.04459905537150172,0.6420286522460339
363,2.986783343712208,1.7282312761063572,0.16283790839019696,0.07919809793128647,0.04460437371138339,0.6397133827818506
364,2.9869614044117565,1.728282790636925,0.16202575093388075,0.0784147382008518,0.04460969215722727,0.6373915975275415
365,2.9871394580442896,1.7283343015875978,0.16121764412977677,0.07763912633413057,0.04461501070902567,0.6350633869079099
366,2.9873175046108136,1.7283858089589874,0.16041356777517274,0.07687118570507556,0.044620329366770906,0.6327288425007807
367,2.987495544112334,1.7284373127517045,0.15961350176811803,0.07611084044542134,0.044625648130455255,0.6303880570254421
368,2.987673576549855,1.7284888129663596,0.15881742610692068,0.07535801543719027,0.04463096700007102,0.6280411243306673
369,2.9878516019243824,1.7285403096035632,0.1580253208896478,0.07461263630527376,0.04463628597561049,0.6256881393823235
370,2.9880296202369223,1.7285918026639262,0.1572371663136276,0.0738746294100857,0.04464160505706604,0.6233291982505653
371,2.9882076314884785,1.7286432921480586,0.15645294267495474,0.07314392184028935,0.04464692424442992,0.6209643980966204
372,2.9883856356800544,1.7286947780565702,0.15567263036799728,0.07242044140559563,0.044652243537694425,0.6185938371591636
373,2.9885636328126557,1.7287462603900712,0.15489620988490704,0.07170411662963325,0.0446575629368519,0.6162176147402885
374,2.9887416228872867,1.7287977391491716,0.1541236618151314,0.07099487674288847,0.044662882441894675,0.6138358311910743
375,2.9889196059049494,1.7288492143344802,0.15335496684492847,0.07029265167571551,0.04466820205281499,0.6114485878967562
376,2.98909758186665,1.7289006859466076,0.15259010575688384,0.06959737205141549,0.04467352176960528,0.6090559872614969
377,2.989275550773389,1.7289521539861619,0.1518290594294306,0.06890896917938423,0.04467884159225775,0.6066581326927717
378,2.989453512626171,1.729003618453753,0.15107180883637084,0.06822737504832738,0.04468416152076477,0.6042551285853602
379,2.9896314674259985,1.7290550793499895,0.15031833504640033,0.06755252231954306,0.044689481555118656,0.6018470803049591
380,2.989809415173874,1.7291065366754803,0.14956861922263504,0.06688434432027061,0.044694801695311724,0.5994340941714147
381,2.9899873558708006,1.729157990430834,0.14882264262214037,0.0662227750371053,0.04470012194133632,0.5970162774415818
382,2.990165289517779,1.729209440616659,0.14808038659546244,0.06556774910947798,0.04470544229318472,0.5945937382918144
383,2.9903432161158126,1.729260887233564,0.14734183258616193,0.06491920182319949,0.044710762750849314,0.5921665858000917
384,2.990521135665902,1.7293123302821563,0.14660696213035015,0.06427706910406847,0.044716083314322384,0.5897349299277882
385,2.9906990481690494,1.7293637697630448,0.14587575685622736,0.06364128751154283,0.0447214039835963,0.5872988815010894
386,2.9908769536262554,1.7294152056768366,0.14514819848362373,0.06301179423247355,0.04472672475866336,0.5848585521920643
387,2.9910548520385207,1.7294666380241397,0.14442426882354198,0.06238852707490042,0.0447320456395159,0.5824140544993945
388,2.9912327434068464,1.7295180668055614,0.14370394977770293,0.061771424461909266,0.044737366626146254,0.5799655017287737
389,2.9914106277322325,1.729569492021709,0.14298722333809288,0.06116042542554979,0.04474268771854675,0.5775130079729778
390,2.991588505015679,1.7296209136731897,0.1422740715865136,0.06055546960081373,0.04474800891670974,0.5750566880916165
391,2.9917663752581873,1.7296723317606104,0.14156447669413402,0.059956497219672236,0.04475333022062757,0.5725966576905722
392,2.9919442384607553,1.729723746284578,0.140858420921045,0.059363449105172654,0.04475865163029256,0.5701330331011345
393,2.992122094624384,1.7297751572456994,0.14015588661581535,0.058776266665593234,0.044763973145697064,0.567665931358835
394,2.992299943750073,1.729826564644581,0.13945685621505094,0.05819489188865604,0.04476929476683345,0.5651954701819947
395,2.99247778583882,1.729877968481829,0.13876131224295524,0.05761926733579664,0.04477461649369403,0.5627217679499876
396,2.9926556208916244,1.7299293687580497,0.13806923731089282,0.05704933613649103,0.04477993832627118,0.560244943681233
397,2.992833448909484,1.7299807654738488,0.13738061411695424,0.05648504198263796,0.04478526026455719,0.5577651170109192
398,2.9930112698933993,1.7300321586298328,0.13669542544552385,0.05592632912299761,0.044790582308544505,0.555282408168474
399,2.993189083844366,1.730083548226607,0.13601365416684916,0.055373142357684445,0.044795904458225386,0.5527969379547849
